#,Company,Symbol,Portfolio%,Price,Chg,% Chg
1,Apple Inc.,AAPL,0.0735,196.66,-1.46,(-0.73%)
2,Microsoft Corp,MSFT,0.0702,369.95,4.02,-1.10%
3,Amazon.com Inc,AMZN,0.0341,150.00,2.58,-1.75%
4,Nvidia Corp,NVDA,0.0300,489.25,5.75,-1.19%
5,Alphabet Inc. Class A,GOOGL,0.0199,132.63,0.69,-0.52%
6,"Meta Platforms, Inc. Class A",META,0.0188,335.63,2.46,-0.74%
7,Alphabet Inc. Class C,GOOG,0.0171,133.91,0.71,-0.53%
8,"Tesla, Inc.",TSLA,0.0167,253.54,2.49,-0.99%
9,Berkshire Hathaway Class B,BRK.B,0.0167,356.21,-1.92,(-0.53%)
10,Unitedhealth Group Incorporated,UNH,0.0128,530.54,-3.71,(-0.69%)
11,Broadcom Inc.,AVGO,0.0121,"1,128.75",22.26,-2.01%
12,Eli Lilly & Co.,LLY,0.0120,570.68,-3.00,(-0.52%)
13,Jpmorgan Chase & Co.,JPM,0.0118,165.39,1.40,-0.85%
14,Visa Inc.,V,0.0106,258.83,0.10,-0.04%
15,Exxon Mobil Corporation,XOM,0.0101,100.88,-0.71,(-0.69%)
16,Johnson & Johnson,JNJ,0.0095,155.10,-1.77,(-1.13%)
17,Mastercard Incorporated,MA,0.0089,418.76,0.20,-0.05%
18,Procter & Gamble Company,PG,0.0088,143.89,-0.77,(-0.53%)
19,"Home Depot, Inc.",HD,0.0087,354.10,2.29,-0.65%
20,Adobe Inc.,ADBE,0.0072,584.53,-0.12,(-0.02%)
21,Costco Wholesale Corp,COST,0.0072,659.95,29.17,-4.62%
22,Abbvie Inc.,ABBV,0.0069,154.45,-0.43,(-0.28%)
23,"Merck & Co., Inc.",MRK,0.0068,105.86,-0.02,(-0.02%)
24,Chevron Corporation,CVX,0.0065,149.58,-0.36,(-0.24%)
25,"Salesforce, Inc.",CRM,0.0063,261.60,4.39,-1.70%
26,"Pepsico, Inc.",PEP,0.0060,167.28,-0.97,(-0.58%)
27,Coca-Cola Company,KO,0.0059,58.65,-0.39,(-0.66%)
28,Advanced Micro Devices,AMD,0.0056,139.06,1.06,-0.77%
29,Bank of America Corporation,BAC,0.0056,33.57,-0.37,(-1.09%)
30,Walmart Inc.,WMT,0.0056,152.88,0.71,-0.47%
31,Accenture Plc,ACN,0.0055,344.90,2.17,-0.63%
32,Mcdonald's Corporation,MCD,0.0054,287.38,-2.64,(-0.91%)
33,Netflix Inc,NFLX,0.0054,471.90,2.07,-0.44%
34,"Cisco Systems, Inc.",CSCO,0.0051,49.83,0.39,-0.79%
35,"Thermo Fisher Scientific, Inc.",TMO,0.0050,516.59,-4.93,(-0.95%)
36,Linde Plc,LIN,0.0050,409.45,-0.27,(-0.07%)
37,Intel Corp,INTC,0.0047,46.15,0.97,-2.14%
38,Abbott Laboratories,ABT,0.0047,107.23,-1.37,(-1.27%)
39,Comcast Corp,CMCSA,0.0045,44.27,-0.37,(-0.83%)
40,Wells Fargo & Co.,WFC,0.0044,50.30,-0.21,(-0.42%)
41,Intuit Inc,INTU,0.0043,612.51,11.33,-1.89%
42,The Walt Disney Company,DIS,0.0043,93.59,-0.35,(-0.37%)
43,Oracle Corp,ORCL,0.0041,103.35,3.04,-3.03%
44,Verizon Communications,VZ,0.0039,37.39,-0.49,(-1.28%)
45,Qualcomm Inc,QCOM,0.0039,142.90,1.40,-0.99%
46,Amgen Inc,AMGN,0.0038,278.24,1.92,-0.70%
47,Pfizer Inc.,PFE,0.0038,26.65,0.52,-1.97%
48,Danaher Corporation,DHR,0.0038,227.24,-2.01,(-0.88%)
49,International Business Machines Corporation,IBM,0.0038,162.29,-0.62,(-0.38%)
50,"Nike, Inc.",NKE,0.0037,121.76,0.74,-0.61%
51,Texas Instruments Incorporated,TXN,0.0037,168.68,-0.10,(-0.06%)
52,Philip Morris International Inc.,PM,0.0037,94.97,0.30,-0.31%
53,"Servicenow, Inc.",NOW,0.0037,696.49,16.10,-2.37%
54,Union Pacific Corp.,UNP,0.0036,240.50,-2.36,(-0.97%)
55,Boeing Company,BA,0.0036,263.96,7.72,-3.01%
56,S&p Global Inc.,SPGI,0.0036,435.86,-1.92,(-0.44%)
57,Caterpillar Inc.,CAT,0.0035,285.87,0.70,-0.24%
58,"Honeywell International, Inc.",HON,0.0034,203.32,-0.09,(-0.04%)
59,Conocophillips,COP,0.0034,114.77,-0.18,(-0.16%)
60,General Electric Company,GE,0.0033,123.29,1.94,-1.59%
61,Applied Materials Inc,AMAT,0.0033,162.30,0.56,-0.35%
62,"Nextra Energy, Inc.",NEE,0.0032,62.24,-0.54,(-0.86%)
63,Lowe's Companies Inc.,LOW,0.0032,225.51,-0.04,(-0.02%)
64,Booking Holdings Inc.,BKNG,0.0031,"3,471.99",31.69,-0.92%
65,Rtx Corporation,RTX,0.0031,80.31,-1.55,(-1.89%)
66,Goldman Sachs Group Inc.,GS,0.0030,383.51,0.04,-0.01%
67,"Prologis, Inc.",PLD,0.0030,134.99,-2.13,(-1.55%)
68,At&t Inc.,T,0.0030,16.53,-0.13,(-0.75%)
69,Intuitive Surgical Inc.,ISRG,0.0029,323.68,-2.50,(-0.77%)
70,"Elevance Health, Inc.",ELV,0.0029,469.00,-10.90,(-2.27%)
71,"United Parcel Service, Inc. Class B",UPS,0.0029,163.27,0.91,-0.56%
72,Starbucks Corp,SBUX,0.0028,96.74,-1.11,(-1.13%)
